date,modules,cnt
2018-11-19,mulas_and_functions` checkpoint missing gifs,1
2018-11-27, notebooks,1
2019-01-20,mula parentheses,1
2019-01-23, Excel IV checkpoint 3,1
2019-01-23, this checkpoint.,1
2019-01-29, Excel portion of course,1
2019-02-18, Mac,1
2019-03-12, new PG Admin photos,1
2019-03-13, SQL 1 checkpoint 2 lessons,1
2019-03-16, SQL 3 checkpoint 1,1
2019-03-18," Tableau 1, Checkpoint 5",1
2019-03-29, one-sample t-test,1
2019-04-04, all ,1
2019-04-06,mat modules intro - Python 1,1
2019-04-22, all ,1
2019-04-22, one-sample t-test,1
2019-04-25,mulas ,1
2019-05-02, DABC-MARKETING-ECOMMERCE,1
2019-05-02, DABC-PYTHON-1,1
2019-05-02, DABC-PYTHON-2,1
2019-05-02, DABC-TABLEAU-1,2
2019-05-03, DABC-EXCEL-FOUNDATIONS-2,1
2019-05-03, DABC-MARKETING-ECOMMERCE,1
2019-05-03, DABC-PYTHON-2,1
2019-05-03, DABC-SQL-1,1
2019-05-03, DABC-SQL-2,1
2019-05-03, DABC-TABLEAU-1,1
2019-05-03, pgAdmin install,1
2019-05-04, DABC-TABLEAU-1,1
2019-05-04, manual calc demo,1
2019-05-05, DABC-SQL-1,1
2019-05-05, DABC-SQL-3,1
2019-05-05, DABC-TABLEAU-1,1
2019-05-06, DABC-ACE-CULT,1
2019-05-06, DABC-CAPSTONE-3,1
2019-05-06, DABC-CAREERS-JOBS,1
2019-05-06, DABC-EXCEL-FOUNDATIONS-2,1
2019-05-06, DABC-TABLEAU-2,1
2019-05-07, DABC-CAREERS-NETWORKING,2
2019-05-07, DABC-STATS-EXCEL,1
2019-05-07, DABC-TABLEAU-1,3
2019-05-08, DABC-PYTHON-EXAM,1
2019-05-08, DABC-TABLEAU-1,1
2019-05-08, DABC-TABLEAU-2,4
2019-05-10, DABC-MARKETING-ECOMMERCE,1
2019-05-13, DABC-TABLEAU-1,2
2019-05-14, DABC-TABLEAU-2,1
2019-05-15, DABC-TABLEAU-2,1
2019-05-16, DABC-RETAIL-SALES,3
2019-05-17, DABC-CAREERS-NETWORKING,1
2019-05-17, DABC-PYTHON-1,1
2019-05-17, DABC-PYTHON-2,1
2019-05-17, DABC-RETAIL-SALES,3
2019-05-17, Mac,1
2019-05-17, The Way of the Data Analyst,1
2019-05-18, DABC-RETAIL-SALES,1
2019-05-19, DABC-PYTHON-1,1
