,date,modules,cnt
0,2018-11-27, notebooks,1
1,2019-05-01, DSBC-REGRESSION-PROBLEMS,1
2,2019-05-01, DSBC-SQL-1,2
3,2019-05-01, DSBC-TRIAL-ORIENTATION,1
4,2019-05-02, DSBC-STATS-1,1
5,2019-05-03, DSBC-DATA-VIS-1,1
6,2019-05-03, DSBC-EXP-DES-AB-TEST,1
7,2019-05-03, DSBC-SQL-1,1
8,2019-05-03, Slack,1
9,2019-05-06, DSBC-FUNDAMENTALS,1
10,2019-05-06, DSBC-TRIAL-ORIENTATION,1
11,2019-05-07, DSBC-TRIAL-ORIENTATION,1
12,2019-05-09, DSBC-MODEL-PREP,1
13,2019-05-10, DSBC-EXP-DES-AB-TEST,1
14,2019-05-11, DSBC-MODEL-PREP,2
15,2019-05-12, DSBC-SQL-1,1
16,2019-05-13, DSBC-FUNDAMENTALS,1
17,2019-05-13, DSBC-ORIENTATION,1
18,2019-05-13, DSBC-SQL-1,1
19,2019-05-13, DSBC-SUPPORT-VECTOR-MACHINES,1
20,2019-05-13, DSBC-TRIAL-ORIENTATION,1
21,2019-05-14, DSBC-CLASSIFICATION-PROBLEMS,1
22,2019-05-14, DSBC-JOB-LANDSCAPE,1
23,2019-05-14, DSBC-SQL-1,3
24,2019-05-15, DSBC-FUNDAMENTALS,1
25,2019-05-15, DSBC-INTERVIEWING,1
26,2019-05-15, DSBC-STATS-1,1
27,2019-05-16, DSBC-MODEL-PREP,5
28,2019-05-16, DSBC-SQL-1,1
29,2019-05-17, DSBC-MODEL-PREP,1
30,2019-05-18, DSBC-MODEL-PREP,2
31,2019-05-19, DSBC-MODEL-PREP,2
32,2019-05-19, DSBC-STATS-1,1
33,2019-05-20, DSBC-EXP-DES-AB-TEST,1
34,2019-05-20, DSBC-MODEL-PREP,4
35,2019-05-21, DSBC-MODEL-PREP,4
36,2019-05-21, DSBC-ORIENTATION,1
37,2019-05-21, DSBC-SIMILARITY-MODELS,1
38,2019-05-21, DSBC-STATS-1,1
39,2019-05-21, DSBC-TRIAL-ORIENTATION,1
40,2019-05-22, DSBC-MODEL-PREP,2
41,2019-05-22, DSBC-STATS-1,1
42,2019-05-23, DSBC-DATA-VIS-1,1
43,2019-05-23, DSBC-MODEL-PREP,1
44,2019-05-23, DSBC-TRIAL-ORIENTATION,1
45,2019-05-24, DSBC-CLASSIFICATION-PROBLEMS,1
46,2019-05-25, DSBC-FUNDAMENTALS,1
47,2019-05-25, DSBC-STATS-1,2
48,2019-05-26, DSBC-EXP-DES-AB-TEST,3
49,2019-05-26, DSBC-SQL-1,1
50,2019-05-27, DSBC-FUNDAMENTALS,1
51,2019-05-28, DSBC-CLASSIFICATION-PROBLEMS,1
52,2019-05-28, DSBC-EXP-DES-AB-TEST,1
53,2019-05-28, DSBC-REGRESSION-PROBLEMS,2
54,2019-05-28, DSBC-WEB-SCRAPING,1
55,2019-05-29, DSBC-FINAL-CAPSTONE,2
56,2019-05-29, DSBC-JOB-LANDSCAPE,1
57,2019-05-29, DSBC-MODEL-PREP,1
