date,modules,cnt
2020-05-11, dm-branding,2
2020-05-13, dm-content,2
2020-05-16, dm-careers-networking,1
2020-05-17, dm-campaigns,1
2020-05-18, dm-campaigns,2
2020-05-19, dm-customer-insights,3
2020-05-23, dm-branding,1
2020-05-23, dm-overview,2
2020-05-25, dm-email-marketing,1
2020-05-27, dm-overview,2
2020-05-28, dm-content,1
2020-05-28, dm-overview,1
2020-05-28, dm-social-media,1
2020-05-29, dm-branding,2
2020-05-29, dm-overview,4
2020-06-01, dm-branding,1
2020-06-02, dm-content,1
2020-06-04, dm-overview,1
2020-06-05, dm-analytics,2
2020-06-05, dm-content,1
2020-06-09, dm-analytics,1
2020-06-12, dm-branding,1
2020-06-15, dm-careers-networking,2
2020-06-21, dm-content,2
2020-06-26, dm-search,1
2020-07-06, dm-customer-insights,1
2020-07-07, dm-overview,1
2020-07-09, dm-careers-interviewing,1
2020-07-09, dm-overview,2
2020-07-13, dm-portfolio,1
2020-07-16, dm-search,1
2020-07-25, dm-campaigns,1
2020-07-28, dm-campaigns,1
2020-07-28,mational interview assignment instructions.,1
2020-08-02, dm-analytics,1
2020-08-15, dm-email-marketing,2
2020-08-21, dm-branding,1
2020-08-30, dm-campaigns,1
2020-09-03, dm-overview,1
2020-09-07, dm-analytics,1
2020-09-07, dm-customer-insights,2
2020-09-08,matting.,4
2020-09-09,matting.,1
2020-09-15, dm-branding,1
2020-09-16, dm-overview,1
2020-09-17, dm-customer-insights,1
2020-09-19, dm-campaigns,1
2020-09-23, dm-branding,2
2020-09-27, dm-customer-insights,1
2020-09-29,matting.,1
2020-10-02, dm-content,1
2020-10-03, dm-customer-insights,1
2020-10-09, dm-customer-insights,1
2020-10-09, dm-search,1
2020-10-12, dm-campaigns,1
2020-10-20, dm-customer-insights,1
2020-10-20,mational and interview assignments.,1
2020-10-27, dm-analytics,1
2020-10-28, dm-campaigns,1
2020-10-29, dm-careers-networking,1
2020-10-29, dm-customer-insights,3
2020-11-01, dm-campaigns,1
2020-11-04, dm-content,1
2020-11-09, dm-content,1
2020-11-11, dm-customer-insights,1
2020-11-12, dm-branding,1
2020-11-12, dm-campaigns,1
2020-11-13, dm-immersion-orientation,3
2020-11-14, dm-content,1
2020-11-15, dm-branding,1
2020-11-17, dm-overview,2
2020-11-17, imm ornt,1
2020-11-18, dm-careers-personal-branding,2
2020-11-18, dm-social-media,2
2020-11-19, dm-customer-insights,1
2020-11-19, dm-search,1
2020-11-19, dm-social-media,1
2020-11-20, dm-careers-personal-branding,3
2020-11-21, dm-imm-ornt,2
2020-11-22, dm-imm-ornt,3
2020-11-22, dm-social-media,1
2020-11-23, dm-imm-ornt,5
2020-11-24, dm-analytics,1
2020-11-26, dm-branding,1
2020-11-27, dm-email-marketing,2
2020-11-27, dm-imm-ornt,2
2020-11-28, dm-social-media,1
2020-11-29, dm-analytics,1
2020-11-29, dm-graduation,1
2020-11-29, dm-social-media,1
2020-11-30, dm-imm-ornt,6
2020-11-30, dm-portfolio,1
2020-11-30, dm-social-media,1
2020-12-01, dm-search,1
2020-12-01, prep course,2
2020-12-02, dm-immersion-orientation,1
2020-12-02, full prep course,1
2020-12-03, dm-customer-insights,1
2020-12-04, dm-analytics,1
2020-12-06, dm-careers-interview,1
2020-12-06, dm-imm-ornt,1
2020-12-06, dm-overview,1
2020-12-07, dm prep course,1
2020-12-07, dm-analytics,2
2020-12-07, dm-content,1
2020-12-09,matting.,1
2020-12-10, dm-careers-job-searching,1
2020-12-10, dm-customer-insights,1
