,date,modules,cnt
0,2019-10-16, PMBC-FLEX-ORIENTATION,1
1,2019-10-18, PMBC-FLEX-ORIENTATION,3
2,2019-10-18, PMBC-PROD-MANAGE-WAY,2
3,2019-10-18, PMBC-SUPPORT,1
4,2019-10-21, PMBC-CRASH-BIZ,1
5,2019-10-22, PMBC-CRASH-BIZ,2
6,2019-11-22, PMBC-FLEX-ORIENTATION,1
7,2019-11-30, PMBC-FLEX-ORIENTATION,1
8,2019-12-15, PMBC-PROD-MANAGE-WAY,1
9,2019-12-17, PMBC-PROD-MANAGE-WAY,1
10,2019-12-22, PMBC-FLEX-ORIENTATION,1
11,2020-01-08, PMBC-CRASH-BIZ,1
12,2020-01-11, PMBC-CRASH-BIZ,1
13,2020-01-12, PMBC-PROD-MARKET-FIT,2
14,2020-01-13, PMBC-FLEX-JOB-SEARCH,1
15,2020-01-21, ui and validation,1
16,2020-03-24, PMBC-ACE-CASE,1
17,2020-04-08, PMBC-4-2,2
18,2020-04-12, PMBC-CRASH-BIZ,1
19,2020-04-12, PMBC-TABLEAU,1
20,2020-04-20, PMBC-FLEX-ORIENTATION,1
21,2020-04-24, PMBC-PYTHON,1
22,2020-04-28, PMBC-PROD-MANAGE-WAY,1
23,2020-05-03, PMBC-PROD-BREAK-DOWN,1
24,2020-05-05, PMBC-PROD-BREAK-DOWN,1
25,2020-05-12, PMBC-TABLEAU,1
26,2020-05-13, PMBC-PROD-BREAK-DOWN,1
27,2020-05-21, PMBC-TABLEAU,1
28,2020-05-22, PMBC-CAPSTONE-1,1
29,2020-05-23, pmbc-start-today,1
30,2020-05-28, PMBC-PROD-MANAGE-WAY,1
31,2020-06-14, PMBC-PROD-MARKET-FIT,2
32,2020-06-21, pmbc-start-today,1
33,2020-06-24, PMBC-PRODUCT-DISCOVERY,1
34,2020-06-27, PMBC-PHONE-SCREENS,1
35,2020-07-07, PMBC-PROD-BREAK-DOWN,1
36,2020-07-29, PMBC-PROD-VALID,1
37,2020-07-30, PMBC-CRASH-BIZ,1
38,2020-07-30, PMBC-PROD-MANAGE-WAY,1
39,2020-08-06, PMBC-SQL-BI,1
40,2020-08-08, pmbc-start-today,1
41,2020-08-12, PMBC-PROD-BREAK-DOWN,1
42,2020-08-27, PMBC-PROD-BREAK-DOWN,2
43,2020-09-02, PMBC-FLEX-JOB-SEARCH,1
44,2020-09-08, PMBC-PROD-BUILD,1
45,2020-09-10, PMBC-FLEX-JOB-SEARCH,1
46,2020-09-15, PMBC-FLEX-JOB-SEARCH,1
47,2020-09-24, PMBC-PRODUCT-DISCOVERY,1
48,2020-10-14, PMBC-PROD-MANAGE-WAY,1
49,2020-10-16, PMBC-CRASH-UI-DESIGN,1
50,2020-10-20, PMBC-TABLEAU,1
51,2020-10-27, PMBC-PROD-BUILD,1
52,2020-10-29, PMBC-FLEX-JOB-SEARCH,1
53,2020-10-30, PMBC-CAREERS-JOBS,1
54,2020-10-30, PMBC-PROD-BREAK-DOWN,2
55,2020-11-02, PMBC-LAUNCH,1
56,2020-11-05, PMBC-PROD-BREAK-DOWN,1
57,2020-11-06, PMBC-ACE-CULT,1
58,2020-11-09, PMBC-PROD-BREAK-DOWN,1
59,2020-11-10, PMBC-PROD-BREAK-DOWN,1
60,2020-11-13, PMBC-PROD-MARKET-FIT,2
61,2020-11-17, PMBC-SQL-BI,1
62,2020-12-05, PMBC-PRODUCT-DISCOVERY,2
