date,modules,cnt
2020-06-10, tpm-project-life-cycle,2
2020-06-15, tpm-project-life-cycle,2
2020-06-20, tpm-systems-development-life-cycle,1
2020-06-26, tpm-immersion-orientation,1
2020-06-28, tpm-project-life-cycle,1
2020-07-01, tpm-systems-development-life-cycle,1
2020-07-09, tpm-business-process,1
2020-07-24, tpm-project-life-cycle,1
2020-07-29, tpm-overview,5
2020-07-30, tpm-project-life-cycle,1
2020-07-30, tpm-systems-development-life-cycle,1
2020-08-03, tpm-business-process,1
2020-08-03, tpm-emotional-intelligence-and-communication,1
2020-08-03, tpm-project-life-cycle,1
2020-08-04, tpm-business-process,1
2020-08-04, tpm-emotional-intelligence-and-communication,3
2020-08-04, tpm-project-life-cycle,1
2020-08-04, tpm-stakeholder-management,1
2020-08-05, tpm-business-process,2
2020-08-05, tpm-emotional-intelligence-and-communication,1
2020-08-05, tpm-stakeholder-management,15
2020-08-05, tpm-systems-development-life-cycle,2
2020-08-06, tpm-systems-development-life-cycle,2
2020-08-07, tpm-business-process,1
2020-08-07, tpm-conflict-management,5
2020-08-10, tpm-leadership,2
2020-08-12, tpm-project-life-cycle,1
2020-08-14, tpm-capstone-1,1
2020-08-22, tpm-business-process,1
2020-08-24, tpm-emotional-intelligence-and-communication,1
2020-08-26, tpm-emotional-intelligence-and-communication,1
2020-08-31, tpm-stakeholder-management,1
2020-09-01, tpm-leadership,1
2020-09-02, tpm-project-life-cycle,2
2020-09-03, tpm-project-life-cycle,1
2020-09-07, tpm-business-process,2
2020-09-07, tpm-project-life-cycle,1
2020-09-10, tpm-capstone-1,1
2020-09-16, tpm-the-world-of-programming,2
2020-09-17, tpm-business-process,1
2020-09-17, tpm-it-management,1
2020-09-17, tpm-the-world-of-programming,1
2020-09-19, tpm-the-world-of-programming,1
2020-09-21, tpm-systems-development-life-cycle,1
2020-09-23, tpm-leadership,1
2020-09-23, tpm-the-world-of-programming,3
2020-09-29, tpm-it-management,3
2020-09-30, tpm-business-process,1
2020-09-30, tpm-it-management,1
2020-10-01, tpm-it-management,4
2020-10-02, tpm-business-process,1
2020-10-02, tpm-capstone-1,1
2020-10-04, tpm-conflict-management,3
2020-10-05, tpm-capstone-1,2
2020-10-19, tpm-emotional-intelligence-and-communication,1
2020-11-03, tpm-it-management,1
2020-11-10, system dev lc,1
2020-11-11, tpm-project-life-cycle,1
2020-11-11, tpm-stakeholder-management,1
2020-11-14, tpm-project-life-cycle,1
2020-11-15, tpm-business-process,1
2020-11-17, tpm-it-management,1
2020-11-17, tpm-mock-interview-role,1
2020-11-19, tpm-the-world-of-programming,2
2020-11-20, tpm-business-process,1
2020-11-22, tpm-capstone-1,1
2020-12-01, prep course,1
2020-12-02, prep course,1
2020-12-07, prep orientation,1
2020-12-10, prep assessment,1
