,date,modules,cnt
0,2020-01-17, UXUI-FUN-UXD,3
1,2020-02-07, UXUI-ORIENTATION-FLEX,1
2,2020-02-12, UXUI-FUN-DESIGN-AND-RESEARCH,1
3,2020-02-12, UXUI-UXI-ASSESS,1
4,2020-02-17, UXUI-FUN-UXD,1
5,2020-02-20, UXUI-FUN-VIS,1
6,2020-02-28, UXUI-FUN-DESIGN-AND-RESEARCH,1
7,2020-03-02, UXUI-SUPPORT-DT,1
8,2020-03-03, UXUI-FUN-DESIGN-AND-RESEARCH,2
9,2020-03-03, UXUI-FUN-UXD,1
10,2020-03-04, UXUI-FUN-VIS,1
11,2020-03-05, UXUI-FUN-UXD,1
12,2020-03-05, UXUI-ORIENTATION-FLEX,1
13,2020-03-06, UXUI-FUN-VIS,2
14,2020-03-06, UXUI-ORIENTATION-FLEX,1
15,2020-03-09, UXUI-FUN-DESIGN-AND-RESEARCH,2
16,2020-03-09, UXUI-FUN-VIS,1
17,2020-03-11, UXUI-FUN-DESIGN-AND-RESEARCH,1
18,2020-03-12, UXUI-FUN-VIS,1
19,2020-03-13, UXUI-FUN-DESIGN-AND-RESEARCH,1
20,2020-03-13, UXUI-FUN-UXD,1
21,2020-03-14, UXUI-FUN-VIS,1
22,2020-03-15, UXUI-FUN-DESIGN-AND-RESEARCH,1
23,2020-03-15, UXUI-FUN-VIS,1
24,2020-03-19, UXUI-FUN-VIS,1
25,2020-03-23, UXUI-CAREERS-NETWORK,1
26,2020-03-24, UXUI-ORIENTATION-DT,5
27,2020-03-26, UXUI-FUN-UXD,1
28,2020-03-26, UXUI-UXI-DISCOVER,1
29,2020-03-27, UXUI-FUN-UXD,1
30,2020-03-28, UXUI-UXI-DISCOVER,1
31,2020-03-29, UXUI-FUN-UXD,1
32,2020-03-29, UXUI-TEAM-DEFINE,1
33,2020-03-29, UXUI-UXI-DEFINE,1
34,2020-03-29, UXUI-UXI-DISCOVER,1
35,2020-03-30, UXUI-UXI-DISCOVER,3
36,2020-03-31, UXUI-UXI-DEFINE,4
37,2020-03-31, UXUI-UXI-DISCOVER,1
38,2020-04-01, UXUI-TEAM-DEFINE,1
39,2020-04-02, UXUI-UXI-DEFINE,1
40,2020-04-06, UXUI-UXI-DEFINE,1
41,2020-04-07, UXUI-PORTFOLIO-I-ASSESS,1
42,2020-04-07, UXUI-TEAM-VIS,1
43,2020-04-09, UXUI-FUN-VIS,1
44,2020-04-09, UXUI-UXI-DEVELOP,3
45,2020-04-10, UXUI-FUN-UXD,1
46,2020-04-12, UXUI-ORIENTATION-FLEX,1
47,2020-04-12, UXUI-TEAM-DEFINE,2
48,2020-04-12, UXUI-UXI-DEVELOP,3
49,2020-04-13, UXUI-UXI-DEVELOP,1
50,2020-04-14, UXUI-FUN-UXD,1
51,2020-04-14, UXUI-ORIENTATION-FLEX,1
52,2020-04-14, UXUI-TEAM-DEFINE,1
53,2020-04-15, UXUI-ORIENTATION-FLEX,1
54,2020-04-16, UXUI-UXI-DELIVER,1
55,2020-04-16, UXUI-UXI-DISCOVER,2
56,2020-04-17, UXUI-FUN-UXD,1
57,2020-04-17, UXUI-PORTFOLIO-I,1
58,2020-04-18, UXUI-FUN-UXD,1
59,2020-04-19, UXUI-FUN-DESIGN-AND-RESEARCH,1
60,2020-04-24, UXUI-FUN-UXD,1
61,2020-04-27, UXUI-UXI-DELIVER,1
62,2020-05-01, UXUI-FUN-UXD,1
63,2020-05-08, UXUI-UXI-DEFINE,1
64,2020-05-11, UXUI-TEAM-DEFINE,2
65,2020-05-11, module 1 checkpoint 2,1
66,2020-05-12, UXUI-TEAM-DEFINE,1
67,2020-05-12, fundamentals modules,1
68,2020-05-13, UXUI-TEAM-DEFINE,1
69,2020-05-14, UXUI-ORIENTATION-IMMERSION,2
