,year,week,modules,cnt
0,2018,47,mulas_and_functions` checkpoint missing gifs,1
1,2018,48, notebooks,1
2,2019,1, DABC-ACE-CASE,1
3,2019,1, DABC-SQL-3,4
4,2019,3,mula parentheses,1
5,2019,4, Excel IV checkpoint 3,1
6,2019,4, this checkpoint.,1
7,2019,5, Excel portion of course,1
8,2019,8, Mac,1
9,2019,11, SQL 1 checkpoint 2 lessons,1
10,2019,11, SQL 3 checkpoint 1,1
11,2019,11, new PG Admin photos,1
12,2019,12," Tableau 1, Checkpoint 5",1
13,2019,13, one-sample t-test,1
14,2019,14, all ,1
15,2019,14,mat modules intro - Python 1,1
16,2019,17, all ,1
17,2019,17, one-sample t-test,1
18,2019,17,mulas ,1
19,2019,18, DABC-EXCEL-FOUNDATIONS-2,1
20,2019,18, DABC-MARKETING-ECOMMERCE,2
21,2019,18, DABC-PYTHON-1,1
22,2019,18, DABC-PYTHON-2,2
23,2019,18, DABC-SQL-1,2
24,2019,18, DABC-SQL-2,1
25,2019,18, DABC-SQL-3,1
26,2019,18, DABC-TABLEAU-1,5
27,2019,18, manual calc demo,1
28,2019,18, pgAdmin install,1
29,2019,19, DABC-ACE-CULT,1
30,2019,19, DABC-CAPSTONE-3,1
31,2019,19, DABC-CAREERS-JOBS,1
32,2019,19, DABC-CAREERS-NETWORKING,2
33,2019,19, DABC-EXCEL-FOUNDATIONS-2,1
34,2019,19, DABC-MARKETING-ECOMMERCE,1
35,2019,19, DABC-PYTHON-EXAM,1
36,2019,19, DABC-STATS-EXCEL,1
37,2019,19, DABC-TABLEAU-1,4
38,2019,19, DABC-TABLEAU-2,5
39,2019,20, DABC-CAREERS-NETWORKING,1
40,2019,20, DABC-PYTHON-1,2
41,2019,20, DABC-PYTHON-2,1
42,2019,20, DABC-RETAIL-SALES,7
43,2019,20, DABC-TABLEAU-1,2
44,2019,20, DABC-TABLEAU-2,2
45,2019,20, Mac,1
46,2019,20, The Way of the Data Analyst,1
47,2019,21, 'preparing ,1
48,2019,21, DABC-ACE-BEHAVE,1
49,2019,21, DABC-EXCEL-FOUNDATIONS-2,2
50,2019,21, DABC-PYTHON-2,2
51,2019,21, DABC-PYTHON-3,3
52,2019,21, DABC-PYTHON-EXAM,3
53,2019,21, DABC-RETAIL-SALES,8
54,2019,21, DABC-SQL-1,2
55,2019,21, DABC-STATS-EXCEL,1
56,2019,21, DABC-TABLEAU-1,2
57,2019,21, Excel Retail Wrangle,1
58,2019,21, careers checkpoint related to #55,1
59,2019,21, new Portfolio checkpoint,1
60,2019,21,mat PivotTable ,1
61,2019,22, DABC-CAPSTONE-3,2
62,2019,22, DABC-CAREERS-JOBS,1
63,2019,22, DABC-EXCEL-FOUNDATIONS-1,1
64,2019,22, DABC-MARKETING-ECOMMERCE,6
65,2019,22, DABC-PYTHON-2,2
66,2019,22, DABC-PYTHON-3,1
67,2019,22, DABC-RETAIL-SALES,5
68,2019,22, DABC-SQL-3,2
69,2019,22, DABC-STATS-EXCEL,7
70,2019,22, DABC-TABLEAU-2,1
71,2019,22, Excel foundations 3,1
72,2019,22, Excel single samples,1
73,2019,23, DABC-CAPSTONE-3,2
74,2019,23, DABC-EXCEL-FOUNDATIONS-1,1
75,2019,23, DABC-EXCEL-FOUNDATIONS-2,1
76,2019,23, DABC-EXCEL-FOUNDATIONS-3,1
77,2019,23, DABC-MARKETING-ECOMMERCE,4
78,2019,23, DABC-PYTHON-1,4
79,2019,23, DABC-PYTHON-2,2
80,2019,23, DABC-PYTHON-3,1
81,2019,23, DABC-RETAIL-SALES,5
82,2019,23, DABC-SQL-1,1
83,2019,23, DABC-STATS-EXCEL,2
84,2019,24, DABC-CAPSTONE-3,2
85,2019,24, DABC-EXCEL-FOUNDATIONS-1,3
86,2019,24, DABC-EXCEL-FOUNDATIONS-4,1
87,2019,24, DABC-MARKETING-ECOMMERCE,1
88,2019,24, DABC-ORIENT,2
89,2019,24, DABC-PYTHON-2,1
90,2019,24, DABC-PYTHON-3,4
91,2019,24, DABC-RETAIL-SALES,1
92,2019,24, DABC-STATS-EXCEL,1
93,2019,24, analysts,1
94,2019,24, drills,1
95,2019,24,mat,1
96,2019,25, Capstone: Case Study 1,1
97,2019,25, DABC-CAPSTONE-1,1
98,2019,25, DABC-CAREERS-PROFESSIONAL-BRANDING,4
99,2019,25, DABC-EXCEL-FOUNDATIONS-1,2
100,2019,25, DABC-EXCEL-FOUNDATIONS-2,2
101,2019,25, DABC-EXCEL-FOUNDATIONS-3,1
102,2019,25, DABC-MARKETING-ECOMMERCE,1
103,2019,25, DABC-RETAIL-SALES,1
104,2019,25, DABC-SQL-3,1
105,2019,25, DABC-STATS-EXCEL,3
106,2019,25, DABC-TABLEAU-2,2
107,2019,25, DABC-WAY,2
