,year,week,modules,cnt
0,2018,48, notebooks,1
1,2019,1, DSBC-EXP-DES-V2,2
2,2019,1, DSBC-MODEL-PREP,1
3,2019,1, DSBC-NEURAL-NETWORKS,1
4,2019,1, DSBC-PYTHON-1,1
5,2019,1, DSBC-PYTHON-2,1
6,2019,1, DSBC-PYTHON-SELF-SUFF,1
7,2019,1, DSBC-REGRESSION-PROBLEMS,1
8,2019,18, DSBC-DATA-VIS-1,1
9,2019,18, DSBC-EXP-DES-AB-TEST,1
10,2019,18, DSBC-REGRESSION-PROBLEMS,1
11,2019,18, DSBC-SQL-1,3
12,2019,18, DSBC-STATS-1,1
13,2019,18, DSBC-TRIAL-ORIENTATION,1
14,2019,18, Slack,1
15,2019,19, DSBC-EXP-DES-AB-TEST,1
16,2019,19, DSBC-FUNDAMENTALS,1
17,2019,19, DSBC-MODEL-PREP,3
18,2019,19, DSBC-SQL-1,1
19,2019,19, DSBC-TRIAL-ORIENTATION,2
20,2019,20, DSBC-CLASSIFICATION-PROBLEMS,1
21,2019,20, DSBC-FUNDAMENTALS,2
22,2019,20, DSBC-INTERVIEWING,1
23,2019,20, DSBC-JOB-LANDSCAPE,1
24,2019,20, DSBC-MODEL-PREP,10
25,2019,20, DSBC-ORIENTATION,1
26,2019,20, DSBC-SQL-1,5
27,2019,20, DSBC-STATS-1,2
28,2019,20, DSBC-SUPPORT-VECTOR-MACHINES,1
29,2019,20, DSBC-TRIAL-ORIENTATION,1
30,2019,21, DSBC-CLASSIFICATION-PROBLEMS,1
31,2019,21, DSBC-DATA-VIS-1,1
32,2019,21, DSBC-EXP-DES-AB-TEST,4
33,2019,21, DSBC-FUNDAMENTALS,1
34,2019,21, DSBC-MODEL-PREP,11
35,2019,21, DSBC-ORIENTATION,1
36,2019,21, DSBC-SIMILARITY-MODELS,1
37,2019,21, DSBC-SQL-1,1
38,2019,21, DSBC-STATS-1,4
39,2019,21, DSBC-TRIAL-ORIENTATION,2
40,2019,22, DSBC-CLASSIFICATION-PROBLEMS,2
41,2019,22, DSBC-EXP-DES-AB-TEST,2
42,2019,22, DSBC-FINAL-CAPSTONE,2
43,2019,22, DSBC-FUNDAMENTALS,3
44,2019,22, DSBC-JOB-LANDSCAPE,1
45,2019,22, DSBC-MODEL-PREP,1
46,2019,22, DSBC-ORIENTATION,1
47,2019,22, DSBC-REGRESSION-PROBLEMS,3
48,2019,22, DSBC-SQL-1,1
49,2019,22, DSBC-WEB-SCRAPING,1
50,2019,23, DS,1
51,2019,23, DSBC-REGRESSION-PROBLEMS,1
52,2019,23, DSBC-SQL-1,1
53,2019,23, Data Scientists,1
54,2019,24, DSBC-FUNDAMENTALS,2
55,2019,24, DSBC-MODEL-PREP,2
56,2019,24, DSBC-SQL-1,2
57,2019,24, DSBC-STATS-1,1
58,2019,25, DSBC-CLUSTER,5
59,2019,25, DSBC-CLUSTERING,1
60,2019,25, DSBC-FUNDAMENTALS,3
61,2019,25, DSBC-JOB-LANDSCAPE,1
62,2019,25, DSBC-MODEL-PREP,2
63,2019,25, DSBC-STATS-1,1
64,2019,25, DSBC-TRIAL-ORIENTATION,2
65,2019,26, DS,1
66,2019,26, DSBC-CLUSTER,1
67,2019,26, DSBC-FUNDAMENTALS,1
68,2019,26, DSBC-ORIENTATION,1
69,2019,27, DSBC-NETWORKING,1
70,2019,27, DSBC-ORIENTATION,1
71,2019,27, DSBC-STATS-1,1
72,2019,27, DSBC-TRIAL-ORIENTATION,2
73,2019,28, DS,1
74,2019,28, DSBC-JOB-LANDSCAPE,1
75,2019,28, DSBC-MODEL-PREP,1
76,2019,28, DSBC-NETWORKING,2
77,2019,28, DSBC-STATS-1,1
78,2019,29, DSBC-ADVANCED-EXPERIMENTATION,1
79,2019,29, DSBC-FUNDAMENTALS,1
80,2019,29, DSBC-SQL-1,1
81,2019,29, DSBC-STATS-1,3
82,2019,29, DSBC-TENSOR-FLOW,1
83,2019,29, DSI,1
84,2019,29, python into SQL content since it wasn't covered be,1
85,2019,30, DSBC-JOB-LANDSCAPE,1
86,2019,30, DSBC-MODEL-PREP,1
87,2019,30, DSBC-SQL-FOUNDATIONS-3,1
88,2019,30, DSBC-STATS-1,2
89,2019,30, this week,1
90,2019,31, Code Wars ,1
91,2019,31, DSBC-FUNDAMENTALS,3
92,2019,31, DSBC-JOB-LANDSCAPE,1
93,2019,31, DSBC-STATS-1,2
94,2019,31, assignment question ,1
95,2019,31, prep,1
96,2019,32, DSBC-CLASSIFICATION-PROBLEMS,1
97,2019,32, DSBC-INTERVIEWING,2
98,2019,32, DSBC-MODEL-PREP,5
99,2019,32, DSBC-PYTHON-1,1
100,2019,32, DSBC-SQL-1,1
101,2019,32, DSBC-SQL-FOUNDATIONS-1,1
102,2019,32, DSBC-STATS-1,2
103,2019,32, DSBC-SUPPORT-VECTOR-MACHINES,2
104,2019,32, classifications,1
105,2019,32, loop ,1
106,2019,33, DSBC-PYTHON-1,1
107,2019,33, DSBC-PYTHON-3,2
108,2019,33, DSBC-RANDOM-FOREST,1
109,2019,33, DSBC-SQL-FOUNDATIONS-2,1
110,2019,33, DSF-ORIENTATION,5
111,2019,33, into to course ,1
112,2019,33,matting,1
113,2019,34, DSBC-CLASSIFICATIONS,2
114,2019,34, DSBC-DATA-VIS-1,1
