,year,week,modules,cnt
0,2019,42, PMBC-FLEX-ORIENTATION,4
1,2019,42, PMBC-PROD-MANAGE-WAY,2
2,2019,42, PMBC-SUPPORT,1
3,2019,43, PMBC-CRASH-BIZ,3
4,2019,47, PMBC-FLEX-ORIENTATION,1
5,2019,48, PMBC-FLEX-ORIENTATION,1
6,2019,50, PMBC-PROD-MANAGE-WAY,1
7,2019,51, PMBC-FLEX-ORIENTATION,1
8,2019,51, PMBC-PROD-MANAGE-WAY,1
9,2020,2, PMBC-CRASH-BIZ,2
10,2020,2, PMBC-PROD-MARKET-FIT,2
11,2020,3, PMBC-FLEX-JOB-SEARCH,1
12,2020,4, ui and validation,1
13,2020,13, PMBC-ACE-CASE,1
14,2020,15, PMBC-4-2,2
15,2020,15, PMBC-CRASH-BIZ,1
16,2020,15, PMBC-TABLEAU,1
17,2020,17, PMBC-FLEX-ORIENTATION,1
18,2020,17, PMBC-PYTHON,1
19,2020,18, PMBC-PROD-BREAK-DOWN,1
20,2020,18, PMBC-PROD-MANAGE-WAY,1
21,2020,19, PMBC-PROD-BREAK-DOWN,1
22,2020,20, PMBC-PROD-BREAK-DOWN,1
23,2020,20, PMBC-TABLEAU,1
24,2020,21, PMBC-CAPSTONE-1,1
25,2020,21, PMBC-TABLEAU,1
26,2020,21, pmbc-start-today,1
27,2020,22, PMBC-PROD-MANAGE-WAY,1
28,2020,24, PMBC-PROD-MARKET-FIT,2
29,2020,25, pmbc-start-today,1
30,2020,26, PMBC-PHONE-SCREENS,1
31,2020,26, PMBC-PRODUCT-DISCOVERY,1
32,2020,28, PMBC-PROD-BREAK-DOWN,1
33,2020,31, PMBC-CRASH-BIZ,1
34,2020,31, PMBC-PROD-MANAGE-WAY,1
35,2020,31, PMBC-PROD-VALID,1
36,2020,32, PMBC-SQL-BI,1
37,2020,32, pmbc-start-today,1
38,2020,33, PMBC-PROD-BREAK-DOWN,1
39,2020,35, PMBC-PROD-BREAK-DOWN,2
40,2020,36, PMBC-FLEX-JOB-SEARCH,1
41,2020,37, PMBC-FLEX-JOB-SEARCH,1
42,2020,37, PMBC-PROD-BUILD,1
43,2020,38, PMBC-FLEX-JOB-SEARCH,1
44,2020,39, PMBC-PRODUCT-DISCOVERY,1
45,2020,42, PMBC-CRASH-UI-DESIGN,1
46,2020,42, PMBC-PROD-MANAGE-WAY,1
47,2020,43, PMBC-TABLEAU,1
48,2020,44, PMBC-CAREERS-JOBS,1
49,2020,44, PMBC-FLEX-JOB-SEARCH,1
50,2020,44, PMBC-PROD-BREAK-DOWN,2
51,2020,44, PMBC-PROD-BUILD,1
52,2020,45, PMBC-ACE-CULT,1
53,2020,45, PMBC-LAUNCH,1
54,2020,45, PMBC-PROD-BREAK-DOWN,1
55,2020,46, PMBC-PROD-BREAK-DOWN,2
56,2020,46, PMBC-PROD-MARKET-FIT,2
57,2020,47, PMBC-SQL-BI,1
58,2020,49, PMBC-PRODUCT-DISCOVERY,2
