,year,week,modules,cnt
0,2020,3, UXUI-FUN-UXD,3
1,2020,6, UXUI-ORIENTATION-FLEX,1
2,2020,7, UXUI-FUN-DESIGN-AND-RESEARCH,1
3,2020,7, UXUI-UXI-ASSESS,1
4,2020,8, UXUI-FUN-UXD,1
5,2020,8, UXUI-FUN-VIS,1
6,2020,9, UXUI-FUN-DESIGN-AND-RESEARCH,1
7,2020,10, UXUI-FUN-DESIGN-AND-RESEARCH,2
8,2020,10, UXUI-FUN-UXD,2
9,2020,10, UXUI-FUN-VIS,3
10,2020,10, UXUI-ORIENTATION-FLEX,2
11,2020,10, UXUI-SUPPORT-DT,1
12,2020,11, UXUI-FUN-DESIGN-AND-RESEARCH,5
13,2020,11, UXUI-FUN-UXD,1
14,2020,11, UXUI-FUN-VIS,4
15,2020,12, UXUI-FUN-VIS,1
16,2020,13, UXUI-CAREERS-NETWORK,1
17,2020,13, UXUI-FUN-UXD,3
18,2020,13, UXUI-ORIENTATION-DT,5
19,2020,13, UXUI-TEAM-DEFINE,1
20,2020,13, UXUI-UXI-DEFINE,1
21,2020,13, UXUI-UXI-DISCOVER,3
22,2020,14, UXUI-TEAM-DEFINE,1
23,2020,14, UXUI-UXI-DEFINE,5
24,2020,14, UXUI-UXI-DISCOVER,4
25,2020,15, UXUI-FUN-UXD,1
26,2020,15, UXUI-FUN-VIS,1
27,2020,15, UXUI-ORIENTATION-FLEX,1
28,2020,15, UXUI-PORTFOLIO-I-ASSESS,1
29,2020,15, UXUI-TEAM-DEFINE,2
30,2020,15, UXUI-TEAM-VIS,1
31,2020,15, UXUI-UXI-DEFINE,1
32,2020,15, UXUI-UXI-DEVELOP,6
33,2020,16, UXUI-FUN-DESIGN-AND-RESEARCH,1
34,2020,16, UXUI-FUN-UXD,3
35,2020,16, UXUI-ORIENTATION-FLEX,2
36,2020,16, UXUI-PORTFOLIO-I,1
37,2020,16, UXUI-TEAM-DEFINE,1
38,2020,16, UXUI-UXI-DELIVER,1
39,2020,16, UXUI-UXI-DEVELOP,1
40,2020,16, UXUI-UXI-DISCOVER,2
41,2020,17, UXUI-FUN-UXD,1
42,2020,18, UXUI-FUN-UXD,1
43,2020,18, UXUI-UXI-DELIVER,1
44,2020,19, UXUI-UXI-DEFINE,1
45,2020,20, UXUI-ORIENTATION-IMMERSION,2
46,2020,20, UXUI-TEAM-DEFINE,4
47,2020,20, UXUI-UXI-DEVELOP,1
48,2020,20, correct linking,1
49,2020,20, fundamentals modules,1
50,2020,20, module 1 checkpoint 2,1
51,2020,20,matting and pre ,1
52,2020,21, UXUI-FUN-UXD,1
53,2020,21, UXUI-FUN-VIS,7
54,2020,21, UXUI-ORIENTATION-FLEX,1
55,2020,21, UXUI-TEAM-VIS,1
56,2020,21, clarity,1
57,2020,21, ux intensive,1
58,2020,22, UXUI-FUN-DESIGN-AND-RESEARCH,2
59,2020,22, UXUI-FUN-UXD,4
60,2020,22, UXUI-UXI-DEFINE,5
61,2020,22, UXUI-UXI-DISCOVER,6
62,2020,23, UXUI-CAREERS-BRAND,1
63,2020,23, UXUI-FUN-DESIGN-AND-RESEARCH,1
64,2020,23, UXUI-FUN-VIS,1
65,2020,23, UXUI-ORIENTATION-DT,2
66,2020,23, UXUI-ORIENTATION-FLEX,1
67,2020,23, UXUI-SP-VIS-II,1
68,2020,23, UXUI-UXI-DELIVER,1
69,2020,23, UXUI-UXI-DEVELOP,1
70,2020,23, build issue,1
71,2020,23, m5 hi-fi proto,1
